hero,category,ability_name,hotkey_or_tier,field,value
Artanis,abilities,Purifier Beam,R,affects,Enemy Heroes
Artanis,abilities,Purifier Beam,R,target,Unit target
Artanis,abilities,Purifier Beam,R,props,"Area of Effect, Revealed"
Artanis,abilities,Purifier Beam,R,cast,0 + 0.125 seconds
Artanis,abilities,Purifier Beam,R,range,Global
Artanis,abilities,Purifier Beam,R,aoe,Circle
Artanis,abilities,Purifier Beam,R,radius,1.25
Artanis,abilities,Purifier Beam,R,missile,3.105
Artanis,abilities,Purifier Beam,R,tickrate,4.0 per second (x32)
Artanis,abilities,Purifier Beam,R,prop1,Damage per tick
Artanis,abilities,Purifier Beam,R,val1,46
Artanis,abilities,Purifier Beam,R,prop2,Initial delay
Artanis,abilities,Purifier Beam,R,val2,2.0 seconds
Artanis,abilities,Purifier Beam,R,prop3,Vision radius
Artanis,abilities,Purifier Beam,R,val3,3.0
Artanis,abilities,Purifier Beam,R,notes,"Reveals the target for 10 seconds upon cast. Hits all enemies in its radius, including Heroes and Structures."
Artanis,talents,Reactive Parry,1,icon,Reactive_Parry_Icon.png
Artanis,talents,Reactive Parry,1,description,"Damaging enemy Heroes with Twin Blades or Blade Dash grants Artanis 50 Physical Armor against the next enemy Hero Basic Attack, reducing its damage by 50%. Stores up to 2 charges."
Artanis,talents,Reactive Parry,1,slot,1
Artanis,talents,Reactive Parry,1,type,Defensive damage modifier
Artanis,talents,Reactive Parry,1,affects,Self
Artanis,talents,Reactive Parry,1,props,Block
Artanis,talents,Reactive Parry,1,notes,Twin Blades grants a charge on each attack. Blade Dash grants a charge for each Hero hit on both the initial dash and return. Does not stack with other positive Physical Armor effects. Other defensive damage modifiers may stack.
Artanis,talents,Amateur Opponent,1,icon,Amateur_Opponent_Icon.png
Artanis,talents,Amateur Opponent,1,description,Twin Blades attacks deal 150% bonus damage to non-Heroes.
Artanis,talents,Amateur Opponent,1,slot,2
Artanis,talents,Amateur Opponent,1,type,Offensive damage modifier
Artanis,talents,Amateur Opponent,1,affects,Ability
Artanis,talents,Amateur Opponent,1,notes,Damage bonus stacks additively with other offensive damage modifiers that can affect Artanis's Basic Attack damage with Twin Blades.
Artanis,talents,Protector of Aiur,1,icon,Protector_Of_Aiur_Icon.png
Artanis,talents,Protector of Aiur,1,description,questonly Basic Attacks against enemy Heroes increase Artanis's Basic Attack damage by 0.1%. Takedowns grant 1% bonus damage.
Artanis,talents,Protector of Aiur,1,slot,3
Artanis,talents,Protector of Aiur,1,type,Offensive damage modifier
Artanis,talents,Protector of Aiur,1,affects,Self
Artanis,talents,Protector of Aiur,1,notes,Damage bonus stacks additively with itself and other offensive damage modifiers that can affect Artanis's Basic Attack damage.
Artanis,talents,Psionic Synergy,2,icon,Phase_Prism_Icon.png
Artanis,talents,Psionic Synergy,2,description,Hitting an enemy with Phase Prism grants 30 Armor for 5 seconds.
Artanis,talents,Psionic Synergy,2,slot,1
Artanis,talents,Psionic Synergy,2,type,Defensive damage modifier
Artanis,talents,Psionic Synergy,2,affects,Self
Artanis,talents,Psionic Synergy,2,props,Armor
Artanis,talents,Psionic Synergy,2,notes,Does not stack with other positive Armor effects. Other defensive damage modifiers may stack.
Artanis,talents,Shield Battery,2,icon,Shield_Battery_Icon.png
Artanis,talents,Shield Battery,2,description,Shield Overload's cooldown recharges 125% faster while its Shield is active. Passive Reduce Shield Overload's cooldown by 4 seconds.
Artanis,talents,Shield Battery,2,slot,2
Artanis,talents,Shield Battery,2,type,Cooldown reduction
Artanis,talents,Shield Battery,2,notes,Reduces the cooldown of Shield Overload by 0.3125 seconds every 0.25 seconds while it is active.
Artanis,talents,Shield Surge,2,icon,Shield_Surge_Icon.png
Artanis,talents,Shield Surge,2,description,Increases Shield Overload's Shields by 80% while below 25% Health.
Artanis,talents,Shield Surge,2,slot,3
Artanis,talents,Shield Surge,2,type,Bonus Shield
Artanis,talents,Shield Surge,2,scaling,4.00%
Artanis,talents,Shield Surge,2,affects,Ability
Artanis,talents,Shield Surge,2,prop1,Bonus Shield
Artanis,talents,Shield Surge,2,val1,292
Artanis,talents,Solarite Reaper,3,icon,Solarite_Reaper_Icon.png
Artanis,talents,Solarite Reaper,3,description,Increases the damage of the first dash of Blade Dash by 175%.
Artanis,talents,Solarite Reaper,3,slot,1
Artanis,talents,Solarite Reaper,3,type,Offensive damage modifier
Artanis,talents,Solarite Reaper,3,affects,Ability
Artanis,talents,Solarite Reaper,3,notes,Damage bonus stacks additively with other offensive damage modifiers that can affect Blade Dash 's damage.
Artanis,talents,Chrono Surge,3,icon,Chrono_Surge_Icon.png
Artanis,talents,Chrono Surge,3,description,Hitting an enemy Hero with Phase Prism grants 40% bonus Attack Speed for 5 seconds and Slows the enemy's Movement Speed by 30% for 4 seconds.
Artanis,talents,Chrono Surge,3,slot,2
Artanis,talents,Chrono Surge,3,type,Status effect / Crowd control
Artanis,talents,Chrono Surge,3,affects,Self / Enemy Heroes
Artanis,talents,Chrono Surge,3,props,"Attacks Speed, Slow"
Artanis,talents,Final Cut,3,icon,Final_Cut_(Artanis)_Icon.png
Artanis,talents,Final Cut,3,description,"After using an Ability, your next Basic Attack within 6 seconds deals 40% additional damage. While under 25% Health, this damage bonus is increased to 60%."
Artanis,talents,Final Cut,3,slot,3
Artanis,talents,Final Cut,3,type,Offensive damage modifier
Artanis,talents,Final Cut,3,affects,Self
Artanis,talents,Final Cut,3,props,Follow Through
Artanis,talents,Final Cut,3,notes,During Twin Blades the damage bonus is applied to the first strike only. Does not stack with itself. Stacks additively with other offensive damage modifiers that can affect Artanis's Basic Attack damage.
Artanis,talents,Suppression Pulse,4,icon,Suppression_Pulse_Icon.png
Artanis,talents,Suppression Pulse,4,description,"Cooldown 50 Fire a large area pulse from the Spear of Adun, dealing 114 damage and Blinding enemies for 4 seconds. Unlimited range."
Artanis,talents,Suppression Pulse,4,slot,1
Artanis,talents,Purifier Beam,4,icon,Purifier_Beam_Icon.png
Artanis,talents,Purifier Beam,4,description,"Cooldown 70 Target an enemy Hero with an orbital beam from the Spear of Adun, dealing 184 damage per second for 8 seconds. The beam will chase the target as they move. Unlimited range."
Artanis,talents,Purifier Beam,4,slot,2
Artanis,talents,Templar's Zeal,5,icon,Templar's_Zeal_Icon.png
Artanis,talents,Templar's Zeal,5,description,"Reduce the Mana cost of Blade Dash from 50 to 25. Each time that Shield Overload activates, reduce the cooldown of Blade Dash by 6 seconds."
Artanis,talents,Templar's Zeal,5,slot,1
Artanis,talents,Triple Strike,5,icon,Triple_Strike_Icon.png
Artanis,talents,Triple Strike,5,description,"Increase Twin Blades's number of Basic Attacks to 3, but increase its cooldown by 1 second."
Artanis,talents,Triple Strike,5,slot,2
Artanis,talents,Graviton Vortex,5,icon,Graviton_Vortex_Icon.png
Artanis,talents,Graviton Vortex,5,description,Reduce the Mana cost of Phase Prism from 50 to 25. Hitting an enemy Hero with Basic Attacks or Blade Dash lowers the cooldown of Phase Prism by 2 seconds.
Artanis,talents,Graviton Vortex,5,slot,3
Artanis,talents,Phase Bulwark,5,icon,Phase_Bulwark_Icon.png
Artanis,talents,Phase Bulwark,5,description,"Shield Overload grants 50 Spell Armor while active, and for 2 seconds after it expires."
Artanis,talents,Phase Bulwark,5,slot,4
Artanis,talents,Phase Bulwark,5,type,Defensive damage modifier
Artanis,talents,Phase Bulwark,5,affects,Self
Artanis,talents,Phase Bulwark,5,props,Spell Armor
Artanis,talents,Phase Bulwark,5,notes,Does not stack with other positive Spell Armor effects. Other damage modifiers may stack.
Artanis,talents,Titan Killer,6,icon,Titan_Killer_Icon.png
Artanis,talents,Titan Killer,6,description,"Basic Attacks against Heroes deal an additional 0.5% of their maximum Health in damage, increased to 1.5% when empowered by Twin Blades."
Artanis,talents,Titan Killer,6,slot,1
Artanis,talents,Titan Killer,6,type,Percent damage
Artanis,talents,Titan Killer,6,affects,Enemy Heroes
Artanis,talents,Titan Killer,6,props,Attack Modifier
Artanis,talents,Force of Will,6,icon,Force_of_Will_Artanis_Icon.png
Artanis,talents,Force of Will,6,description,Casting Basic Abilities reduces the cooldown of Shield Overload by 5 seconds.
Artanis,talents,Force of Will,6,slot,2
Artanis,talents,Blades of a Templar,6,icon,Blades of a Templar Icon.png
Artanis,talents,Blades of a Templar,6,description,Increase Attack Speed by 20%. Basic Attacks Slow enemy Movement Speed by 20% for 1.25 seconds.
Artanis,talents,Blades of a Templar,6,slot,3
Artanis,talents,Blades of a Templar,6,type,Status effect / Crowd control
Artanis,talents,Blades of a Templar,6,affects,Self / Enemies
Artanis,talents,Blades of a Templar,6,props,"Attack Speed buff, Slow"
Artanis,talents,Orbital Bombardment,7,icon,Orbital_Bombardment_Icon.png
Artanis,talents,Orbital Bombardment,7,description,Suppression Pulse gains an additional charge. There is a 10 second cooldown between uses.
Artanis,talents,Orbital Bombardment,7,slot,1
Artanis,talents,Target Purified,7,icon,Target_Purified_Icon.png
Artanis,talents,Target Purified,7,description,"Increase the speed of Purifier Beam by 15%. If the target of Purifier Beam dies, it automatically recasts on the nearest visible enemy Hero."
Artanis,talents,Target Purified,7,slot,2
Artanis,talents,Target Purified,7,prop1,Retarget delay
Artanis,talents,Target Purified,7,val1,2.0 seconds
Artanis,talents,Zealot Charge,7,icon,Zealot_Charge_Icon.png
Artanis,talents,Zealot Charge,7,description,Increase Twin Blades's charge distance by 75%.
Artanis,talents,Zealot Charge,7,slot,3
Artanis,talents,Zealot Charge,7,prop1,Bonus range
Artanis,talents,Zealot Charge,7,val1,2.625
Artanis,talents,Plasma Burn,7,icon,Plasma_Burn_Icon.png
Artanis,talents,Plasma Burn,7,description,"While Shield Overload is active, deal 70 damage per second to nearby enemies."
Artanis,talents,Plasma Burn,7,slot,4
Artanis,talents,Plasma Burn,7,type,Spell Damage
Artanis,talents,Plasma Burn,7,scaling,4.00%
Artanis,talents,Plasma Burn,7,affects,Enemies
Artanis,talents,Plasma Burn,7,props,Area of Effect
Artanis,talents,Plasma Burn,7,aoe,Circle
Artanis,talents,Plasma Burn,7,radius,2.625 (1
Artanis,talents,Plasma Burn,7,tickrate,1.0 per second
Artanis,talents,Plasma Burn,7,notes,1) Area of Effect is extended by Artanis's unit radius. Plasma Burn does not affect unaggroed neutral Mercenaries. Damaging enemies with Plasma Burn does not trigger tower aggro. Plasma Burn is unaffected by offensive damage modifier and lifesteal effects.
Chen,abilities,Fortifying Brew,D,icon,Fortifying_Brew_Icon.png
Chen,abilities,Fortifying Brew,D,description,"Chen drinks from his keg, gaining 50 Brew and 190 temporary Shields per second, up to a maximum of 570 while drinking. Shields persist for 4 seconds after he stops drinking.; 7; trait"
Chen,abilities,Fortifying Brew,D,type,"Shield, Resource"
Chen,abilities,Fortifying Brew,D,scaling,4.00% / -
Chen,abilities,Fortifying Brew,D,affects,Self
Chen,abilities,Fortifying Brew,D,target,No target
Chen,abilities,Fortifying Brew,D,props,Stationary channel
Chen,abilities,Fortifying Brew,D,cast,Instant
Chen,abilities,Fortifying Brew,D,tickrate,- Shields: 2.0 per second (x8) - Brew: 8.0 per second (x32)
Chen,abilities,Fortifying Brew,D,prop1,Shields per tick
Chen,abilities,Fortifying Brew,D,val1,23.75
Chen,abilities,Fortifying Brew,D,prop2,Brew per tick
Chen,abilities,Fortifying Brew,D,val2,1.5625
Chen,abilities,Fortifying Brew,D,prop3,Channel time
Chen,abilities,Fortifying Brew,D,val3,4.0 seconds
Chen,abilities,Flying Kick,Q,icon,Flying_Kick_Icon.png
Chen,abilities,Flying Kick,Q,description,"Kick through target enemy, dealing 130 damage."
Chen,abilities,Flying Kick,Q,type,Spell Damage / Movement: Launch
Chen,abilities,Flying Kick,Q,scaling,4.00%
Chen,abilities,Flying Kick,Q,affects,Enemies / Self
Chen,abilities,Flying Kick,Q,target,Unit target
Chen,abilities,Flying Kick,Q,cast,Instant
Chen,abilities,Flying Kick,Q,range,7.0
Chen,abilities,Flying Kick,Q,notes,Chen is positioned on the opposite side of the target upon landing.
Chen,abilities,Flying Kick,Q,cooldown,5
Chen,abilities,Flying Kick,Q,cost,10
Chen,abilities,Keg Smash,W,icon,Keg_Smash_Icon.png
Chen,abilities,Keg Smash,W,description,"Deal 50 damage and soak enemies in Brew for 3 seconds, Slowing them by 10%. After 1.25 seconds, the Slow is increased to 40%. After being used, this ability becomes Breath of Fire. Breath of Fire Deal damage and Ignite Brew-soaked enemies."
Chen,abilities,Keg Smash,W,type,"Spell Damage, Crowd control"
Chen,abilities,Keg Smash,W,scaling,4.00%
Chen,abilities,Keg Smash,W,affects,Enemies
Chen,abilities,Keg Smash,W,target,Point target
Chen,abilities,Keg Smash,W,props,"Area of Effect, Clamping, Self-castable"
Chen,abilities,Keg Smash,W,cast,0 + 0.1 seconds
Chen,abilities,Keg Smash,W,range,3.5
Chen,abilities,Keg Smash,W,aoe,Circle
Chen,abilities,Keg Smash,W,radius,2.0
Chen,abilities,Keg Smash,W,notes,Igniting enemies also extend the duration of Brew-soaked debuff by 1.5 seconds. Brew-soaked cannot be removed by cleansing the associated Slow.
Chen,abilities,Keg Smash,W,cooldown,5
Chen,abilities,Keg Smash,W,cost,40
Chen,abilities,Keg Smash - Breath of Fire,W,icon,Breath_of_Fire_Icon.png
Chen,abilities,Keg Smash - Breath of Fire,W,description,"Breathe a cone of flames, dealing 40 damage. Enemies soaked in Brew are Ignited, dealing 171 additional damage over 6 seconds and adding 1.5 seconds to the duration of the Slow from Keg Smash. After being used or after 6 seconds, this Ability becomes Keg Smash. Keg Smash Damage and Slow enemies."
Chen,abilities,Keg Smash - Breath of Fire,W,type,Spell Damage
Chen,abilities,Keg Smash - Breath of Fire,W,scaling,4.00%
Chen,abilities,Keg Smash - Breath of Fire,W,affects,Enemies
Chen,abilities,Keg Smash - Breath of Fire,W,target,Point target
Chen,abilities,Keg Smash - Breath of Fire,W,props,"Area of Effect, Clamping, Damage over Time (Ignited)"
Chen,abilities,Keg Smash - Breath of Fire,W,cast,0.1 + 0.25 seconds
Chen,abilities,Keg Smash - Breath of Fire,W,aoe,Radial
Chen,abilities,Keg Smash - Breath of Fire,W,radius,7.0
Chen,abilities,Keg Smash - Breath of Fire,W,arc,60 degrees
Chen,abilities,Keg Smash - Breath of Fire,W,tickrate,1.0 per second (x6)
Chen,abilities,Keg Smash - Breath of Fire,W,prop1,Damage per tick
Chen,abilities,Keg Smash - Breath of Fire,W,val1,55
Chen,abilities,Keg Smash - Breath of Fire,W,notes,Igniting enemies also extends the duration of Brew-soaked debuff by 1.5 seconds. The cooldown does not start counting until Breath of Fire has been used or it has expired.
Chen,abilities,Keg Smash - Breath of Fire,W,cooldown,1.25
Chen,abilities,Keg Smash - Breath of Fire,W,cost,10
Chen,abilities,Stagger,E,icon,Stagger_Icon.png
Chen,abilities,Stagger,E,description,"Damage taken over the next 3 seconds is prevented. Once this effect ends, Chen receives 75% of the damage taken over 5 seconds. This damage cannot be modified."
Chen,abilities,Stagger,E,type,Status effect / Percent damage
Chen,abilities,Stagger,E,scaling,-
Chen,abilities,Stagger,E,affects,Self / Self
Chen,abilities,Stagger,E,target,No target
Chen,abilities,Stagger,E,props,"Damage over Time, Protected"
Chen,abilities,Stagger,E,cast,Instant
Chen,abilities,Stagger,E,tickrate,1.0 per second (x5)
Chen,abilities,Stagger,E,notes,"Damage over time can still be prevented, absorbed or dispelled through specific Abilities and effects. Chen can die from self-damage, which grants the enemy team the normal amount of XP and takedown credit. Damage taken during Stagger 's protective period is calculated and stored after all reductions, causing its damage reduction to stack multiplicatively with other defensive damage modifiers, like Armor, that were active at the same time. Does not prevent or store damage to Shields."
Chen,abilities,Stagger,E,cooldown,18
Chen,abilities,Wandering Keg,R,icon,Wandering_Keg_Icon.png
Chen,abilities,Wandering Keg,R,description,"Roll around inside an Unstoppable barrel with 70% increased Movement Speed and 25 Armor, dealing 59 damage to enemies in the way and knocking them back. Lasts for 5 seconds.; 60; heroic"
Chen,abilities,Wandering Keg,R,type,"Spell Damage, Crowd control / Defensive damage modifier, Status effect"
Chen,abilities,Wandering Keg,R,scaling,4.00%
Chen,abilities,Wandering Keg,R,affects,Non-Structure enemies / Self
Chen,abilities,Wandering Keg,R,props,"Area of Effect,Knockback, Mobile channel, Unstoppable"
Chen,abilities,Wandering Keg,R,cast,Instant
Chen,abilities,Wandering Keg,R,aoe,Circle
Chen,abilities,Wandering Keg,R,radius,1.0
Chen,abilities,Wandering Keg,R,prop1,Knockback duration
Chen,abilities,Wandering Keg,R,val1,0.32 seconds
Chen,abilities,Wandering Keg,R,prop2,Knockback speed
Chen,abilities,Wandering Keg,R,val2,23
Chen,abilities,Wandering Keg,R,notes,"Chen can not attack, use his Abilities or stop during Wandering Keg. Colliding with an enemy removes the Movement Speed bonus which is then regained over 0.375 seconds."
Chen,abilities,"Storm, Earth, Fire",R,icon,"Storm,_Earth,_Fire_Icon.png"
Chen,abilities,"Storm, Earth, Fire",R,description,"After 1 second, Chen splits into three elemental spirits for 12 seconds, each with 70% of Chen's maximum Health and a unique Ability. The last spirit Ability that is cast is empowered. If all three spirits are killed, Chen will die as well. Storm can grant the spirits a Shield. Earth can leap to an area and Slow Enemies. Fire can grant the spirits Attack Speed and damage. Storm Earth Fire ; 120; heroic"
Chen,abilities,"Storm, Earth, Fire",R,type,Heroic Pet
Chen,abilities,"Storm, Earth, Fire",R,affects,Self
Chen,abilities,"Storm, Earth, Fire",R,target,Player controlled
Chen,abilities,"Storm, Earth, Fire",R,props,"Splash, Slow"
Chen,abilities,"Storm, Earth, Fire",R,cast,1.0 (ch) + 1.0625 seconds
Chen,abilities,"Storm, Earth, Fire",R,notes,"Earth's Basic Attacks splash in 3.5 radius, dealing Spell Damage and Slowing enemies within 3.5 radius of the primary target by 25% for 1.75 seconds."
Chen,abilities,"Storm, Earth, Fire",R,nohr,true
Chen,abilities,"Storm, Earth, Fire",R,scaling,4.00% (damage & Health)
Chen,abilities,"Storm, Earth, Fire",R,prop1,Health
Chen,abilities,"Storm, Earth, Fire",R,val1,1731
Chen,abilities,"Storm, Earth, Fire",R,prop2,Basic Attack damage
Chen,abilities,"Storm, Earth, Fire",R,val2,17
Chen,abilities,"Storm, Earth, Fire",R,prop3,Attack speed
Chen,abilities,"Storm, Earth, Fire",R,val3,1.67
Chen,abilities,"Storm, Earth, Fire",R,prop4,Attack range
Chen,abilities,"Storm, Earth, Fire",R,val4,1.0
Chen,abilities,"Storm, Earth, Fire",R,prop5,Movement Speed
Chen,abilities,"Storm, Earth, Fire",R,val5,4.4
Chen,abilities,"Storm, Earth, Fire",R,prop6,Unit radius
Chen,abilities,"Storm, Earth, Fire",R,val6,0.625
Chen,abilities,"Storm, Earth, Fire - Storm",Q,icon,Storm_Icon.png
Chen,abilities,"Storm, Earth, Fire - Storm",Q,description,"The spirits gain a Shield for 400 over 3 seconds. If this is the final Ability cast, the Shield amount is increased to 750 with unlimited duration and the duration of Storm, Earth, Fire is increased by 5 seconds."
Chen,abilities,"Storm, Earth, Fire - Storm",Q,type,Shield
Chen,abilities,"Storm, Earth, Fire - Storm",Q,scaling,4.00%
Chen,abilities,"Storm, Earth, Fire - Storm",Q,affects,Self (spirits)
Chen,abilities,"Storm, Earth, Fire - Storm",Q,target,No target
Chen,abilities,"Storm, Earth, Fire - Storm",Q,cast,Instant
Chen,abilities,"Storm, Earth, Fire - Earth",W,icon,Earth_Icon.png
Chen,abilities,"Storm, Earth, Fire - Earth",W,description,"Fire and Earth leap to the target location dealing 32 damage and Slowing enemies in a large area by 70% for 1.5 seconds. If this is the final Ability cast, increase the damage dealt by 300% and instead of Slowing, the leap Roots enemy Heroes hit for 1.75 seconds."
Chen,abilities,"Storm, Earth, Fire - Earth",W,type,"Spell Damage, Crowd control / Movement: Launch"
Chen,abilities,"Storm, Earth, Fire - Earth",W,scaling,4.00%
Chen,abilities,"Storm, Earth, Fire - Earth",W,affects,Enemies / Self (Fire & Earth)
Chen,abilities,"Storm, Earth, Fire - Earth",W,target,Point target
Chen,abilities,"Storm, Earth, Fire - Earth",W,props,"Root, Slow"
Chen,abilities,"Storm, Earth, Fire - Earth",W,cast,Instant
Chen,abilities,"Storm, Earth, Fire - Earth",W,range,9.0
Chen,abilities,"Storm, Earth, Fire - Earth",W,aoe,Circle
Chen,abilities,"Storm, Earth, Fire - Earth",W,radius,3.0
Chen,abilities,"Storm, Earth, Fire - Earth",W,notes,"Empowered leap bonus damage stacks additively with other offensive damage modifiers. After the leap, Storm and Earth will attack the closest target within their acquisition range, if no attack command is issued."
Chen,abilities,"Storm, Earth, Fire - Fire",E,icon,Fire_Icon.png
Chen,abilities,"Storm, Earth, Fire - Fire",E,description,"Increase the Attack Speed and Basic Attack damage of the spirits by 50% for 5 seconds. If this is the final Ability cast, the Attack Speed and damage bonus is increased to 75% and the spirits gain 50% Movement Speed for its duration."
Chen,abilities,"Storm, Earth, Fire - Fire",E,type,"Offensive damage modifier, Status effect"
Chen,abilities,"Storm, Earth, Fire - Fire",E,affects,Self (spirits)
Chen,abilities,"Storm, Earth, Fire - Fire",E,props,"Attack Modifier, Attack Speed, Movement Speed"
Chen,abilities,"Storm, Earth, Fire - Fire",E,target,No target
Chen,abilities,"Storm, Earth, Fire - Fire",E,cast,Instant
Chen,abilities,"Storm, Earth, Fire - Fire",E,notes,Damage bonus stacks additively with other offensive damage modifiers.
Chen,talents,Accumulating Flame,1,icon,Accumulating_Flame_Icon.png
Chen,talents,Accumulating Flame,1,description,"Quest Damage enemy Heroes with Breath of Fire to permanently increase periodic damage by 0.25. Kills grant 2. After gaining 25 damage, increase the range of Keg Smash. Reward Upon gaining 80 damage, Breath of Fire reduces enemy Armor by 20 and its duration is increased by 0.75 seconds each time Chen attacks the Hero."
Chen,talents,Accumulating Flame,1,slot,1
Chen,talents,Accumulating Flame,1,type,Offensive damage modifier
Chen,talents,Accumulating Flame,1,affects,Ability
Chen,talents,Accumulating Flame,1,notes,Does not increase the duration of Brew-soaked debuff. Stacks additively with other offensive damage modifiers that can affect Breath of Fire 's damage.
Chen,talents,Freshest Ingredients,1,icon,Freshest_Ingredients_Icon.png
